organization,programme,economic_category,standard_object,appropriation,amount
Canadian Heritage,Legal Services,operating,Repair and maintenance,voted,150.0
Law Commission of Canada,Law Review,operating,Rentals,voted,150.0
Employment and Social Development Canada,Canada Emergency Response Benefit,operating,Professional and special services,voted,150.0
Statistics Canada,Communications Services,operating,"Utilities, materials and supplies",voted,148.52
Royal Canadian Mounted Police,Legal Services,operating,Repair and maintenance,voted,147.5
Veterans Affairs Canada,Materiel Management Services,other,Other subsidies and payments,voted,147.46
Employment and Social Development Canada,Canadian Digital Service,operating,Repair and maintenance,voted,145.77
Offices of the Information and Privacy Commissioners of Canada,Internal Services - Office of the Information Commissioner,other,Other subsidies and payments,voted,142.01
Crown-Indigenous Relations and Northern Affairs Canada,Indian Residential Schools Settlement Agreement,operating,Information,voted,142.0
Courts Administration Service,Registry Services,operating,Repair and maintenance,voted,140.0
Military Grievances External Review Committee,Independent review of military grievances,operating,Information,voted,139.4
Correctional Service Canada,Support parliamentary review of national security and intelligence activities,operating,Transportation and communications,statutory,139.36
Civilian Review and Complaints Commission for the RCMP,Public Complaints,operating,Repair and maintenance,voted,139.0
Fisheries and Oceans Canada,Fish and Fish Habitat Protection,capital,"Acquisition of land, buildings and works",voted,137.58
Public Safety Canada,The administration of Canada's final court of appeal,other,Other subsidies and payments,voted,137.16
National Defence,Military Transition,operating,Repair and maintenance,voted,135.0
Health Canada,Materiel Management Services,other,Other subsidies and payments,voted,131.92
Department of Justice Canada,Youth Justice,other,Other subsidies and payments,voted,131.61
Veterans Affairs Canada,War Veterans Allowance,operating,Repair and maintenance,voted,130.85
Health Canada,Internal services,capital,Acquisition of machinery and equipment,voted,130.63
Copyright Board Canada,Internal Services,other,Other subsidies and payments,voted,129.84
House of Commons,House Administration,operating,Transportation and communications,statutory,127.75
Global Affairs Canada,Sub-Saharan Africa International Assistance,operating,Repair and maintenance,voted,125.47
Impact Assessment Agency of Canada,"Assessment Administration, Conduct, and Monitoring",operating,Repair and maintenance,voted,124.98
Atlantic Canada Opportunities Agency,Trade and Investment,operating,"Utilities, materials and supplies",voted,123.5
Department of Indigenous Services,Real Property Management Services,operating,Information,voted,122.0
Public Safety Canada,Crime Prevention,operating,Repair and maintenance,voted,120.71
Environment and Climate Change Canada,"Aquatic Ecosystems Health, Substances and Waste Management",capital,"Acquisition of land, buildings and works",voted,119.0
Employment and Social Development Canada,Information Management Services,operating,Transportation and communications,voted,117.04
Employment and Social Development Canada,Service Delivery Partnerships,capital,Acquisition of machinery and equipment,voted,116.39
"Innovation, Science and Economic Development Canada",Materiel Management Services,operating,Rentals,voted,115.05
Canadian Food Inspection Agency,Setting Rules for Food Safety and Consumer Protection,operating,Transportation and communications,statutory,114.53
National Research Council Canada,National Science Library,operating,Information,voted,112.48
National Research Council Canada,Materiel Management Services,operating,Transportation and communications,voted,112.45
Employment and Social Development Canada,Foreign Credential Recognition Program,operating,Information,voted,112.0
Canadian Heritage,Internal Services,operating,"Utilities, materials and supplies",statutory,111.36
Veterans Affairs Canada,Research and Innovation,operating,"Utilities, materials and supplies",voted,109.75
Public Service Commission of Canada,Oversight and Monitoring,capital,Acquisition of machinery and equipment,voted,109.34
Transport Canada,Aviation Safety Oversight,operating,"Utilities, materials and supplies",statutory,108.9
Employment and Social Development Canada,Canada Emergency Response Benefit,operating,"Utilities, materials and supplies",voted,108.47
Public Safety Canada,Legal Services,operating,Transportation and communications,voted,108.28
Veterans Affairs Canada,Veterans Emergency Fund,capital,Acquisition of machinery and equipment,voted,105.55
Department of Indigenous Services,Indigenous Entrepreneurship and Business Development,operating,Information,voted,105.17
Department of Justice Canada,Acquisition Management Services,operating,Transportation and communications,voted,105.12
Federal Economic Development Agency for Southern Ontario,Regional Innovation Ecosystem,operating,Information,voted,103.52
Correctional Service Canada,Foreign Direct Investment Attraction,operating,Repair and maintenance,voted,102.9
Transport Canada,Intermodal Surface Security Regulatory Framework,operating,Repair and maintenance,voted,102.34
Public Health Agency of Canada,Financial Management Services,operating,Information,voted,100.79
"Innovation, Science and Economic Development Canada",Administration and Interpretation of the Conflict of Interest Act and the Conflict of Interest Code for Members of the House of Commons,other,Other subsidies and payments,statutory,100.0
National Defence,Strategic Command and Control,operating,Information,voted,100.0
RCMP External Review Committee,Internal Services,operating,Information,voted,99.0
Financial Consumer Agency of Canada,"Research, Policy and Education",operating,"Utilities, materials and supplies",statutory,98.95
Statistics Canada,Information Technology Services,operating,"Utilities, materials and supplies",statutory,96.62
Statistics Canada,Management and Oversight Services,capital,Acquisition of machinery and equipment,voted,96.51
Canadian Heritage,Learning About Canadian History,capital,Acquisition of machinery and equipment,voted,95.05
Transport Canada,Information Technology Services,capital,Acquisition of machinery and equipment,statutory,93.9
Canadian Human Rights Commission,Protection Program,operating,Rentals,voted,93.7
Federal Economic Development Agency for Northern Ontario,Community Economic Development and Diversification,operating,Information,voted,93.5
Canada Revenue Agency,Information Management Services,operating,"Utilities, materials and supplies",statutory,91.25
Treasury Board of Canada Secretariat,Materiel Management Services,operating,"Utilities, materials and supplies",voted,91.2
Federal Economic Development Agency for Northern Ontario,Regional Innovation Ecosystem,operating,Information,voted,90.75
Federal Economic Development Agency for Northern Ontario,Business Development,operating,Information,voted,90.75
Fisheries and Oceans Canada,Aquatic Invasive Species,operating,Repair and maintenance,statutory,90.0
Canadian Heritage,Safety and Environment Oversight,operating,Repair and maintenance,voted,89.95
Social Sciences and Humanities Research Council of Canada,Financial Management Services,capital,Acquisition of machinery and equipment,voted,87.77
Department of Justice Canada,Indigenous Justice,operating,"Utilities, materials and supplies",voted,87.2
Natural Sciences and Engineering Research Council of Canada,Acquisition Management Services,operating,Transportation and communications,voted,86.85
Parks Canada,Legal Services,operating,Transportation and communications,voted,86.74
Employment and Social Development Canada,Sustainable Development Goals Funding Program,capital,Acquisition of machinery and equipment,voted,86.48
Employment and Social Development Canada,Social Innovation and Social Finance Strategy,operating,"Utilities, materials and supplies",voted,84.99
Employment and Social Development Canada,Information Management Services,operating,"Utilities, materials and supplies",voted,84.97
Employment and Social Development Canada,Skills and Partnership Fund,operating,"Utilities, materials and supplies",voted,84.79
Treasury Board of Canada Secretariat,Employer Program,operating,Information,unknown,79.65
"Immigration, Refugees and Citizenship Canada",Humanitarian/Compassionate and Discretionary Immigration,operating,Rentals,voted,76.43
Natural Sciences and Engineering Research Council of Canada,Materiel Management Services,operating,Transportation and communications,voted,74.84
Social Sciences and Humanities Research Council of Canada,Canada Biomedical Research Fund,other,Other subsidies and payments,voted,74.63
Public Services and Procurement Canada,Procurement Program,operating,Information,statutory,71.88
Royal Canadian Mounted Police,Human Resources Management Services,operating,"Utilities, materials and supplies",statutory,71.27
Social Sciences and Humanities Research Council of Canada,Acquisition Management Services,operating,Transportation and communications,voted,70.93
Employment and Social Development Canada,Social Innovation and Social Finance Strategy,capital,Acquisition of machinery and equipment,voted,70.19
Statistics Canada,Financial Management Services,operating,"Utilities, materials and supplies",statutory,68.83
Veterans Affairs Canada,Research and Innovation,operating,Rentals,voted,67.23
Natural Resources Canada,Information Management Services,operating,Rentals,voted,67.19
Global Affairs Canada,Partnerships for Development Innovation,operating,Repair and maintenance,voted,66.87
Military Grievances External Review Committee,Independent review of military grievances,other,Other subsidies and payments,voted,64.99
Natural Sciences and Engineering Research Council of Canada,Legal Services,operating,"Utilities, materials and supplies",voted,64.77
National Defence,Land Force Development,other,Other subsidies and payments,statutory,63.91
"Housing, Infrastructure and Communities Canada",Financial Management Services,capital,Acquisition of machinery and equipment,voted,63.27
Department of Indigenous Services,Acquisition Management Services,capital,Acquisition of machinery and equipment,voted,61.95
Accessibility Standards Canada,Outreach and Knowledge Application,operating,"Utilities, materials and supplies",voted,59.56
Employment and Social Development Canada,Canadian Digital Service,operating,Transportation and communications,statutory,57.92
Patented Medicine Prices Review Board Canada,Patented Medicine Price Regulation Program,operating,"Utilities, materials and supplies",voted,56.88
Natural Sciences and Engineering Research Council of Canada,Materiel Management Services,operating,Professional and special services,voted,55.56
Agriculture and Agri-Food Canada,African Swine Fever Response,other,Other subsidies and payments,voted,55.46
Veterans Affairs Canada,Veterans Emergency Fund,operating,"Utilities, materials and supplies",voted,54.98
Royal Canadian Mounted Police,Federal Policing National Governance,operating,Transportation and communications,statutory,54.14
Royal Canadian Mounted Police,Canadian Firearms Licensing and Registration,operating,Transportation and communications,statutory,54.0
Department of Finance Canada,Legal Services,operating,Transportation and communications,voted,53.98
Department of Finance Canada,Legal Services,capital,Acquisition of machinery and equipment,voted,53.86
Canadian Heritage,Learning About Canadian History,operating,Rentals,voted,53.57
Royal Canadian Mounted Police,Indigenous Policing,operating,"Utilities, materials and supplies",statutory,53.1
Statistics Canada,Materiel Management Services,operating,Transportation and communications,voted,51.86
Treasury Board of Canada Secretariat,Human Resources Management Services,operating,Information,voted,50.65
Fisheries and Oceans Canada,Information Technology Services,operating,Transportation and communications,statutory,50.31
Transportation Safety Board of Canada,Internal Services,operating,Rentals,statutory,50.0
Public Safety Canada,The administration of Canada's final court of appeal,capital,Acquisition of machinery and equipment,voted,48.12
Agriculture and Agri-Food Canada,"Visitors, International Students and Temporary Workers",operating,"Utilities, materials and supplies",voted,47.78
Royal Canadian Mounted Police,Protective Operations,operating,"Utilities, materials and supplies",statutory,47.1
Courts Administration Service,Registry Services,operating,Information,voted,46.99
Public Service Commission of Canada,Policy Direction and Support,operating,"Utilities, materials and supplies",voted,46.45
Royal Canadian Mounted Police,Financial Management Services,operating,Transportation and communications,statutory,46.03
Health Canada,Information Management Services,other,Other subsidies and payments,statutory,45.1
Social Sciences and Humanities Research Council of Canada,Materiel Management Services,operating,Professional and special services,voted,43.66
Veterans Affairs Canada,Research and Innovation,operating,Repair and maintenance,voted,43.57
Treasury Board of Canada Secretariat,"Regulatory Policy, Oversight, and Cooperation",operating,Information,voted,43.48
"Housing, Infrastructure and Communities Canada",Allocation-Based and Direct Funding Stewardship,other,Other subsidies and payments,voted,43.41
Canadian Food Inspection Agency,Information Management Services,operating,Rentals,voted,42.58
Royal Canadian Mounted Police,Canadian Firearms Investigative and Enforcement Services,operating,Transportation and communications,statutory,40.76
Employment and Social Development Canada,Workforce Development Agreements,operating,"Utilities, materials and supplies",voted,40.58
Canadian Heritage,Multiculturalism and Anti-Racism,operating,"Utilities, materials and supplies",statutory,40.5
Transport Canada,Acquisition Management Services,operating,Repair and maintenance,voted,40.28
Royal Canadian Mounted Police,Human Resources Management Services,debt_service,Public debt charges,voted,40.0
Agriculture and Agri-Food Canada,Materiel Management Services,other,Other subsidies and payments,voted,40.0
Atlantic Canada Opportunities Agency,Innovation Ecosystem,capital,Acquisition of machinery and equipment,voted,39.99
Canada Water Agency,Freshwater Policy and Engagement Program,capital,Acquisition of machinery and equipment,voted,39.99
Employment and Social Development Canada,Internal Services,capital,Acquisition of machinery and equipment,voted,39.81
Employment and Social Development Canada,Community Workforce Development Program / Canada Retraining and Opportunities Initiative,capital,Acquisition of machinery and equipment,voted,39.38
Canada Economic Development for Quebec Regions,Targeted or temporary support,capital,Acquisition of machinery and equipment,voted,39.36
Administrative Tribunals Support Service of Canada,Legal Services,other,Other subsidies and payments,voted,38.72
Statistics Canada,Materiel Management Services,operating,"Utilities, materials and supplies",statutory,38.58
National Defence,Ready Air and Space Forces,operating,Transportation and communications,statutory,37.5
Canadian Food Inspection Agency,Information Management Services,other,Other subsidies and payments,statutory,36.28
Parks Canada,Financial Management Services,operating,Transportation and communications,statutory,35.31
Crown-Indigenous Relations and Northern Affairs Canada,Human Resources Management Services,operating,Information,voted,34.5
Department of Indigenous Services,Emergency Management Assistance,operating,"Utilities, materials and supplies",voted,33.98
Registrar of the Supreme Court of Canada,Administration of the Judges Act for the Judges of the Supreme Court of Canada,operating,Information,statutory,33.97
Veterans Affairs Canada,Veterans Emergency Fund,operating,Rentals,voted,33.58
Fisheries and Oceans Canada,Fleet Maintenance,capital,"Acquisition of land, buildings and works",voted,32.85
Correctional Service Canada,Financial Management Services,other,Other subsidies and payments,statutory,30.8
Canadian Heritage,Official Languages,operating,"Utilities, materials and supplies",statutory,30.38
Fisheries and Oceans Canada,Search and Rescue,operating,Transportation and communications,statutory,30.09
Correctional Service Canada,Fisheries,operating,Transportation and communications,voted,30.0
Atlantic Canada Opportunities Agency,Trade and Investment,capital,Acquisition of machinery and equipment,voted,29.8
Royal Canadian Mounted Police,Specialized Technical Investigative Services,operating,"Utilities, materials and supplies",statutory,29.09
Canadian Heritage,Indigenous Languages,operating,Repair and maintenance,voted,29.03
Fisheries and Oceans Canada,Waterways Management,capital,"Acquisition of land, buildings and works",voted,28.5
Natural Sciences and Engineering Research Council of Canada,Management and Oversight Services,capital,Acquisition of machinery and equipment,voted,28.4
Office of the Commissioner for Federal Judicial Affairs Canada,Payments pursuant to the Judges Act,operating,"Utilities, materials and supplies",statutory,28.23
Natural Sciences and Engineering Research Council of Canada,Acquisition Management Services,operating,"Utilities, materials and supplies",voted,27.69
Employment and Social Development Canada,Canada Student Financial Assistance Program and Canada Apprentice Loan,operating,"Utilities, materials and supplies",statutory,27.59
Canadian Food Inspection Agency,Human Resources Management Services,operating,Information,statutory,27.59
Royal Canadian Mounted Police,Operational Policing Support,operating,Transportation and communications,statutory,26.6
"Housing, Infrastructure and Communities Canada",Homelessness Investment,operating,"Utilities, materials and supplies",voted,26.03
Transport Canada,Multi-Modal and Road Safety Regulatory Framework,other,Other subsidies and payments,voted,25.62
Statistics Canada,Information Management Services,operating,Information,voted,25.39
Department of Indigenous Services,Human Resources Management Services,operating,Information,voted,25.03
National Research Council Canada,Acquisition Management Services,operating,Repair and maintenance,voted,24.97
National Defence,Indigenous Affairs,operating,"Utilities, materials and supplies",voted,24.88
Parks Canada,Heritage Places Establishment,operating,Transportation and communications,statutory,24.16
Global Affairs Canada,Legal Services,operating,Information,voted,22.77
Veterans Affairs Canada,Veterans Emergency Fund,operating,Repair and maintenance,voted,21.77
Public Services and Procurement Canada,Health Care Systems,capital,Acquisition of machinery and equipment,voted,21.33
Natural Sciences and Engineering Research Council of Canada,Legal Services,capital,Acquisition of machinery and equipment,voted,21.3
Social Sciences and Humanities Research Council of Canada,Acquisition Management Services,operating,"Utilities, materials and supplies",voted,20.12
Canadian Food Inspection Agency,Permissions for Food Products,operating,Information,voted,20.0
Social Sciences and Humanities Research Council of Canada,Information Technology Services,operating,"Utilities, materials and supplies",voted,18.72
Canadian Heritage,Acquisition Management Services,operating,Rentals,voted,17.88
Canadian Radio-television and Telecommunications Commission,Internal Services,other,Other subsidies and payments,statutory,17.14
Patented Medicine Prices Review Board Canada,Pharmaceutical Trends Program,capital,Acquisition of machinery and equipment,voted,16.99
Canadian Heritage,Sport Development and High Performance,operating,Repair and maintenance,voted,16.0
"Immigration, Refugees and Citizenship Canada",Information Management Services,other,Other subsidies and payments,voted,15.8
Invest in Canada Hub,Investor Services,operating,"Utilities, materials and supplies",voted,15.25
Senate,"Chamber, Committees and Associations",operating,Repair and maintenance,voted,15.0
Agriculture and Agri-Food Canada,Human Resources Management Services,capital,"Acquisition of land, buildings and works",voted,14.95
Royal Canadian Mounted Police,Federal Policing Intelligence,operating,Professional and special services,statutory,14.13
Royal Canadian Mounted Police,Management and Oversight Services,operating,Professional and special services,statutory,13.89
Royal Canadian Mounted Police,Management and Oversight Services,operating,Transportation and communications,statutory,13.38
Public Health Agency of Canada,Communicable Disease and Infection Control,operating,Repair and maintenance,voted,13.0
Employment and Social Development Canada,Enabling Accessibility Fund,operating,"Utilities, materials and supplies",voted,12.84
Women and Gender Equality Canada,Internal Services,capital,Acquisition of machinery and equipment,statutory,12.25
Canadian Institutes of Health Research,Human Resources Management Services,operating,Transportation and communications,voted,12.11
Canadian Food Inspection Agency,Legal Services,operating,Information,voted,11.5
Environment and Climate Change Canada,"Aquatic Ecosystems Health, Substances and Waste Management",operating,Transportation and communications,statutory,11.0
Global Affairs Canada,International Business Development,operating,Transportation and communications,statutory,11.0
Canada Border Services Agency,Immigration Investigations,operating,Professional and special services,statutory,10.27
Canada Border Services Agency,Funding social sciences and humanities research and training,operating,Professional and special services,statutory,10.27
Canadian Heritage,Preservation of and Access to Heritage,operating,"Utilities, materials and supplies",statutory,10.13
Canadian Heritage,"National Celebrations, Commemorations and Symbols",operating,"Utilities, materials and supplies",statutory,10.13
Agriculture and Agri-Food Canada,Food Policy Initiatives,operating,"Utilities, materials and supplies",voted,10.0
Fisheries and Oceans Canada,Economics and Statistics,operating,Repair and maintenance,voted,9.2
Correctional Service Canada,Financial Management Services,operating,"Utilities, materials and supplies",statutory,9.03
Employment and Social Development Canada,Old Age Security,other,Other subsidies and payments,statutory,8.84
Department of Finance Canada,Financial Management Services,other,Other subsidies and payments,voted,8.7
Natural Sciences and Engineering Research Council of Canada,Materiel Management Services,operating,"Utilities, materials and supplies",voted,8.03
Veterans Affairs Canada,Acquisition Management Services,operating,"Utilities, materials and supplies",voted,7.71
Canadian Heritage,Materiel Management Services,operating,Rentals,voted,7.67
National Defence,Maritime Equipment Acquisition,operating,Information,voted,7.5
National Research Council Canada,Medical Devices,operating,Information,statutory,6.4
Royal Canadian Mounted Police,Operational Policing Support,operating,Professional and special services,statutory,6.29
Senate,"Senators, House Officers, and their Offices",other,Other subsidies and payments,statutory,6.19
Statistics Canada,Acquisition Management Services,operating,Repair and maintenance,voted,6.19
Global Affairs Canada,Grants and Contributions Policy and Operations,operating,Information,voted,6.1
Statistics Canada,Acquisition Management Services,operating,"Utilities, materials and supplies",voted,5.62
Statistics Canada,Management and Oversight Services,operating,Repair and maintenance,voted,5.47
Employment and Social Development Canada,Canada Education Savings Program,operating,Repair and maintenance,voted,5.46
Veterans Affairs Canada,Funeral and Burial Program,capital,Acquisition of machinery and equipment,voted,5.41
Statistics Canada,Information Management Services,operating,"Utilities, materials and supplies",statutory,5.29
Canadian Food Inspection Agency,Setting Rules for Food Safety and Consumer Protection,other,Other subsidies and payments,statutory,5.19
Parks Canada,Materiel Management Services,capital,Acquisition of machinery and equipment,voted,4.69
Social Sciences and Humanities Research Council of Canada,Materiel Management Services,operating,"Utilities, materials and supplies",voted,4.68
Canadian Food Inspection Agency,Legal Services,other,Other subsidies and payments,voted,3.81
Canadian Heritage,Human Rights,operating,"Utilities, materials and supplies",voted,3.61
Employment and Social Development Canada,Citizen Service Network,other,Other subsidies and payments,statutory,3.52
Secretariat of the National Security and Intelligence Committee of Parliamentarians,Internal Services,operating,Information,voted,3.44
Veterans Affairs Canada,Information Management Services,capital,Acquisition of machinery and equipment,voted,3.32
Royal Canadian Mounted Police,Forensic Science and Identification Services,operating,Professional and special services,statutory,3.12
Employment and Social Development Canada,Management and Oversight Services,operating,"Utilities, materials and supplies",statutory,3.0
Canadian Food Inspection Agency,Setting Rules for Plant Health,other,Other subsidies and payments,statutory,2.98
Canadian Food Inspection Agency,Market Access Support,other,Other subsidies and payments,voted,2.9
Statistics Canada,Management and Oversight Services,operating,"Utilities, materials and supplies",statutory,2.48
Public Services and Procurement Canada,Financial Management Services,capital,"Acquisition of land, buildings and works",voted,2.01
Statistics Canada,Communications Services,operating,"Utilities, materials and supplies",statutory,1.46
"Innovation, Science and Economic Development Canada",Legal Services,other,Other subsidies and payments,voted,1.22
Statistics Canada,Information Management Services,capital,Acquisition of machinery and equipment,voted,1.22
Royal Canadian Mounted Police,Protective Operations,operating,Professional and special services,statutory,0.8
Statistics Canada,Acquisition Management Services,operating,Information,voted,0.45
Transport Canada,Legal Services,other,Other subsidies and payments,voted,0.44
Statistics Canada,Acquisition Management Services,operating,"Utilities, materials and supplies",statutory,0.06
Statistics Canada,Acquisition Management Services,capital,Acquisition of machinery and equipment,voted,0.02
Canada Border Services Agency,Trade Facilitation and Compliance,operating,Professional and special services,statutory,0.01
Social Sciences and Humanities Research Council of Canada,Human Resources Management Services,capital,Acquisition of machinery and equipment,voted,0.01
Social Sciences and Humanities Research Council of Canada,Management and Oversight Services,operating,Repair and maintenance,voted,0.01
Social Sciences and Humanities Research Council of Canada,Acquisition Management Services,capital,Acquisition of machinery and equipment,voted,-0.01
Employment and Social Development Canada,Canada Student Financial Assistance Program and Canada Apprentice Loan,operating,Repair and maintenance,voted,-0.01
Social Sciences and Humanities Research Council of Canada,Communications Services,operating,Repair and maintenance,voted,-0.01
Social Sciences and Humanities Research Council of Canada,Acquisition Management Services,operating,Repair and maintenance,voted,-0.01
Social Sciences and Humanities Research Council of Canada,Management and Oversight Services,capital,Acquisition of machinery and equipment,voted,-0.03
"Innovation, Science and Economic Development Canada",Acquisition Management Services,operating,Rentals,voted,-0.04
Social Sciences and Humanities Research Council of Canada,Human Resources Management Services,operating,Information,voted,-0.05
Canadian Institutes of Health Research,Real Property Management Services,other,Other subsidies and payments,voted,-0.73
Canadian Institutes of Health Research,Information Management Services,other,Other subsidies and payments,voted,-2.92
Royal Canadian Mounted Police,Forensic Science and Identification Services,other,Other subsidies and payments,statutory,-3.12
Natural Resources Canada,Canada-US International Boundary Treaty,other,Other subsidies and payments,voted,-10.78
Canadian Institutes of Health Research,Information Technology Services,other,Other subsidies and payments,voted,-10.96
Canada Border Services Agency,Removals,operating,Professional and special services,statutory,-20.54
National Research Council Canada,"Ocean, Coastal and River Engineering",other,Other subsidies and payments,statutory,-32.91
Canada Energy Regulator,Regulatory Framework,other,Other subsidies and payments,voted,-42.11
Transportation Safety Board of Canada,Pipeline Occurrence Investigations,other,Other subsidies and payments,voted,-47.03
Canadian Institutes of Health Research,Training and Career Support,other,Other subsidies and payments,voted,-49.15
National Defence,International Operations,other,External revenues,voted,-72.55
Global Affairs Canada,Humanitarian Assistance,other,Other subsidies and payments,voted,-79.04
National Research Council Canada,Communications Services,operating,"Utilities, materials and supplies",statutory,-95.96
"Immigration, Refugees and Citizenship Canada",Settlement,other,Other subsidies and payments,voted,-109.25
Global Affairs Canada,Acquisition Management Services,other,Other subsidies and payments,voted,-110.21
Global Affairs Canada,"Office of Human Rights, Freedom and Inclusion (OHRFI) Programming",other,Other subsidies and payments,voted,-155.27
Senate Ethics Officer,Administration and Interpretation of the Ethics and Conflict of Interest Code for Senators,other,Other subsidies and payments,voted,-158.77
National Research Council Canada,Human Resources Management Services,capital,Acquisition of machinery and equipment,statutory,-185.0
Canadian Space Agency,Information Management Services,other,Other subsidies and payments,voted,-189.96
Employment and Social Development Canada,Government of Canada Telephone General Enquiries Services,other,Other subsidies and payments,statutory,-201.36
Agriculture and Agri-Food Canada,Canada in space,other,Other subsidies and payments,voted,-258.06
Public Service Commission of Canada,Recruitment and Assessment Services,other,External revenues,voted,-258.1
Correctional Service Canada,Materiel Management Services,other,Other subsidies and payments,voted,-261.46
"Housing, Infrastructure and Communities Canada",Major Bridges Policy,other,Other subsidies and payments,voted,-265.16
Crown-Indigenous Relations and Northern Affairs Canada,Information Management Services,other,Other subsidies and payments,voted,-269.77
Transport Canada,Financial Management Services,other,External revenues,voted,-293.02
Employment and Social Development Canada,Social Development Partnerships Program,transfers,Transfer payments,statutory,-300.0
National Research Council Canada,Management and Oversight Services,other,Other subsidies and payments,statutory,-374.5
Military Police Complaints Commission of Canada,Internal Services,other,Other subsidies and payments,voted,-392.32
National Research Council Canada,Aquatic and Crop Resource Development,operating,Information,statutory,-451.96
National Research Council Canada,Management and Oversight Services,operating,"Utilities, materials and supplies",statutory,-452.11
National Research Council Canada,Acquisition Management Services,operating,Professional and special services,statutory,-465.0
Canadian Institutes of Health Research,Human Resources Management Services,other,Other subsidies and payments,voted,-607.84
Global Affairs Canada,Materiel Management Services,other,Other subsidies and payments,voted,-609.78
Office of the Conflict of Interest and Ethics Commissioner,Administration and Interpretation of the Conflict of Interest Act and the Conflict of Interest Code for Members of the House of Commons,other,Other subsidies and payments,voted,-626.61
National Film Board,Promotion of works and National Film Board outreach,operating,Rentals,statutory,-640.84
Agriculture and Agri-Food Canada,Interpret Canada to Canadians and Other Nations,operating,Transportation and communications,voted,-663.08
"Housing, Infrastructure and Communities Canada",Alternative Financing Policy,other,Other subsidies and payments,voted,-741.29
Canada Energy Regulator,Indigenous Engagement,other,Other subsidies and payments,voted,-760.62
National Defence,Ombudsman,other,Other subsidies and payments,voted,-817.51
National Defence,Military Police Institutional Operations,operating,Transportation and communications,statutory,-820.46
Military Grievances External Review Committee,Internal Services,other,Other subsidies and payments,voted,-840.28
Social Sciences and Humanities Research Council of Canada,Research Support Fund,other,Other subsidies and payments,voted,-936.1
Natural Resources Canada,Real Property Management Services,other,External revenues,voted,-1000.0
Natural Resources Canada,Management and Oversight Services,other,Internal revenues,voted,-1000.0
Crown-Indigenous Relations and Northern Affairs Canada,Support for Indigenous Engagement and Capacity,other,Other subsidies and payments,voted,-1004.32
Social Sciences and Humanities Research Council of Canada,Acquisition Management Services,other,Other subsidies and payments,voted,-1008.24
Social Sciences and Humanities Research Council of Canada,Communications Services,other,Other subsidies and payments,voted,-1008.24
Agriculture and Agri-Food Canada,Citizenship and Passports,operating,"Utilities, materials and supplies",statutory,-1028.05
Royal Canadian Mounted Police,National Cybercrime Coordination Centre,other,Other subsidies and payments,statutory,-1062.55
Employment and Social Development Canada,Employment Insurance,capital,Acquisition of machinery and equipment,statutory,-1063.6
International Joint Commission (Canadian Section),Shared water resources management,other,Other subsidies and payments,voted,-1144.33
Transport Canada,Marine Security Regulatory Framework,other,Other subsidies and payments,voted,-1169.07
National Research Council Canada,Industrial Research Assistance Program,other,Other subsidies and payments,statutory,-1199.71
Financial Transactions and Reports Analysis Centre of Canada,Strategic Policy and Reviews,personnel,Personnel,voted,-1327.49
Royal Canadian Mounted Police,Acquisition Management Services,operating,Professional and special services,unknown,-1344.7
Social Sciences and Humanities Research Council of Canada,New Frontiers in Research Fund,other,Other subsidies and payments,voted,-1495.18
Employment and Social Development Canada,Human Resources Management Services,operating,Rentals,statutory,-1500.0
Employment and Social Development Canada,Materiel Management Services,operating,Rentals,voted,-1500.0
Office of the Public Sector Integrity Commissioner of Canada,Internal Services,other,Other subsidies and payments,voted,-1589.94
Department of Justice Canada,Acquisition Management Services,other,External revenues,voted,-1605.35
Natural Sciences and Engineering Research Council of Canada,Information Management Services,other,Other subsidies and payments,voted,-1722.55
Crown-Indigenous Relations and Northern Affairs Canada,Real Property Management Services,other,Other subsidies and payments,voted,-1749.1
Impact Assessment Agency of Canada,Internal Services,other,External revenues,voted,-1764.83
National Research Council Canada,"Collaborative Science, Technology and Innovation Program",operating,Professional and special services,statutory,-1770.0
Natural Sciences and Engineering Research Council of Canada,Acquisition Management Services,other,Other subsidies and payments,voted,-1800.24
National Research Council Canada,Information Management Services,operating,Information,statutory,-2000.0
Environment and Climate Change Canada,Real Property Management Services,other,External revenues,voted,-2007.88
Office of the Commissioner of Lobbying of Canada,Internal Services,other,Other subsidies and payments,voted,-2042.51
National Film Board,Promotion of works and National Film Board outreach,operating,Professional and special services,statutory,-2095.0
Royal Canadian Mounted Police,Operational Policing Support,other,Other subsidies and payments,statutory,-2107.08
Agriculture and Agri-Food Canada,Internal Services,other,Other subsidies and payments,statutory,-2226.94
National Research Council Canada,Herzberg Astronomy & Astrophysics,operating,Information,statutory,-2608.89
Canadian Institutes of Health Research,Acquisition Management Services,other,Other subsidies and payments,voted,-2686.65
National Research Council Canada,Communications Services,operating,Transportation and communications,statutory,-2870.0
Canadian Grain Commission,Internal Services,other,Other subsidies and payments,statutory,-2909.79
Natural Resources Canada,Forest Sector Competitiveness,other,External revenues,voted,-2918.36
Health Canada,Acquisition Management Services,other,Other subsidies and payments,voted,-2963.82
Crown-Indigenous Relations and Northern Affairs Canada,Justice System Support,other,Other subsidies and payments,voted,-2965.29
Canadian Institutes of Health Research,Procurement of Capabilities,other,Other subsidies and payments,voted,-3002.84
Social Sciences and Humanities Research Council of Canada,Human Resources Management Services,other,Other subsidies and payments,voted,-3024.72
