organization,programme,economic_category,standard_object,appropriation,amount
Veterans Affairs Canada,Veterans Ombudsperson,operating,Professional and special services,voted,121409.63
International Joint Commission (Canadian Section),Shared water resources management,operating,Information,voted,121351.12
Correctional Service Canada,Institutional Management and Support,capital,Acquisition of machinery and equipment,voted,121290.23
Canadian Institutes of Health Research,Acquisition Management Services,personnel,Personnel,statutory,121257.11
Employment and Social Development Canada,Internal Services,personnel,Personnel,voted,121226.02
Crown-Indigenous Relations and Northern Affairs Canada,Northern and Arctic Environmental Sustainability,capital,Acquisition of machinery and equipment,voted,121205.3
Health Canada,Communications Services,operating,Transportation and communications,voted,121139.13
"Innovation, Science and Economic Development Canada",Legal Services,personnel,Personnel,statutory,121130.61
Agriculture and Agri-Food Canada,Interpret Canada to Canadians and Other Nations,operating,Professional and special services,statutory,120999.34
Transport Canada,Aviation Safety Oversight,capital,Acquisition of machinery and equipment,voted,120968.87
Polar Knowledge Canada,Internal Services,operating,Rentals,voted,120909.17
Natural Resources Canada,Geoscience for Sustainable Development of Natural Resources,capital,"Acquisition of land, buildings and works",statutory,120900.0
National Research Council Canada,Automotive and Surface Transportation,operating,Transportation and communications,voted,120877.57
Department of Indigenous Services,Financial Management Services,other,Other subsidies and payments,voted,120812.46
National Defence,Cadets and Junior Canadian Rangers (Youth Program),operating,Information,voted,120765.38
Veterans Affairs Canada,Canada Remembers Program,capital,Acquisition of machinery and equipment,voted,120687.39
Royal Canadian Mounted Police,Acquisition Management Services,operating,Rentals,voted,120543.33
Public Safety Canada,Financial Management Services,operating,Professional and special services,voted,120436.54
Federal Economic Development Agency for Northern Ontario,Internal Services,operating,Information,voted,120377.22
Transport Canada,Indigenous Partnerships and Engagement,operating,Transportation and communications,voted,120269.05
Immigration and Refugee Board of Canada,Refugee Appeal Decisions,operating,Transportation and communications,voted,120238.36
Shared Services Canada,Telecommunications,other,Other subsidies and payments,voted,120232.3
Environment and Climate Change Canada,Legislative Auditing,operating,Transportation and communications,voted,120078.71
Public Services and Procurement Canada,Asset Disposal,operating,Repair and maintenance,voted,120007.99
Correctional Service Canada,Mental Health Services,transfers,Transfer payments,voted,119959.32
Canada Border Services Agency,Information Management Services,operating,Transportation and communications,voted,119858.68
Department of Justice Canada,Management and Oversight Services,operating,Repair and maintenance,voted,119842.62
Canadian Intergovernmental Conference Secretariat,Internal Services,personnel,Personnel,statutory,119806.57
Parks Canada,"Heritage Canals, Highways and Townsites Management",operating,Rentals,statutory,119716.09
Fisheries and Oceans Canada,Conservation and Protection,other,Other subsidies and payments,statutory,119651.4
Administrative Tribunals Support Service of Canada,Legal Services,operating,Information,voted,119549.09
Canadian Food Inspection Agency,Setting Rules for Animal Health,operating,Information,voted,119272.71
Employment and Social Development Canada,Job Bank,operating,Transportation and communications,voted,119030.57
Canada Revenue Agency,Materiel Management Services,capital,Acquisition of machinery and equipment,voted,118908.35
Treasury Board of Canada Secretariat,Materiel Management Services,personnel,Personnel,statutory,118654.94
Natural Sciences and Engineering Research Council of Canada,Human Resources Management Services,operating,Rentals,voted,118599.94
Canada Water Agency,Internal Services,operating,Transportation and communications,voted,118458.47
National Research Council Canada,Metrology,operating,Repair and maintenance,voted,118170.85
Public Safety Canada,Human Resources Management Services,operating,Information,voted,118103.64
Natural Sciences and Engineering Research Council of Canada,Information Management Services,operating,Professional and special services,voted,118054.96
Copyright Board Canada,Internal Services,operating,Professional and special services,voted,117926.8
Public Service Commission of Canada,Recruitment and Assessment Services,operating,"Utilities, materials and supplies",voted,117666.82
Health Canada,Food and Nutrition,operating,Rentals,voted,117591.88
Fisheries and Oceans Canada,Internal Services,other,Other subsidies and payments,voted,117576.7
"Innovation, Science and Economic Development Canada",Intellectual Property,operating,Information,voted,117483.24
Crown-Indigenous Relations and Northern Affairs Canada,Indian Residential Schools Settlement Agreement,other,Other subsidies and payments,voted,117446.05
Royal Canadian Mounted Police,Force Generation,other,Other subsidies and payments,statutory,117410.17
Canada Water Agency,Freshwater Management Program,operating,"Utilities, materials and supplies",voted,117363.37
Canada Revenue Agency,Registered Plans,operating,Repair and maintenance,voted,117284.24
Law Commission of Canada,Law Review,operating,Information,voted,117235.3
Fisheries and Oceans Canada,Aboriginal Programs and Treaties,operating,Information,voted,117175.44
Global Affairs Canada,Canada Post Corporation,other,Other subsidies and payments,voted,117137.79
National Defence,The Employer Support Programmes,operating,Transportation and communications,voted,117093.62
National Defence,Ombudsman,operating,Transportation and communications,voted,116971.08
Health Canada,Pharmaceutical Drugs,capital,Acquisition of machinery and equipment,voted,116939.15
Canadian Food Inspection Agency,Animal Health Compliance Promotion,operating,Transportation and communications,voted,116813.06
National Research Council Canada,Medical Devices,operating,Professional and special services,voted,116615.82
Royal Canadian Mounted Police,Canadian Firearms Licensing and Registration,other,Other subsidies and payments,voted,116604.11
Pacific Economic Development Agency of Canada,Innovation,capital,Acquisition of machinery and equipment,voted,116382.96
Social Sciences and Humanities Research Council of Canada,Research Partnerships,operating,Information,voted,116338.76
Royal Canadian Mounted Police,Canadian Police College,operating,Repair and maintenance,voted,116321.81
National Research Council Canada,Management and Oversight Services,operating,Transportation and communications,voted,116142.39
Transport Canada,Marine Safety Oversight,operating,Information,voted,116096.63
National Defence,"Command, Control and Sustainment of Operations",operating,"Utilities, materials and supplies",statutory,116080.73
Transport Canada,Security Clearances,operating,Professional and special services,voted,116026.81
Canadian Food Inspection Agency,Monitoring and Enforcement for Food Safety and Consumer Protection,operating,Rentals,voted,115919.4
Canada Revenue Agency,Information Management Services,capital,Acquisition of machinery and equipment,voted,115850.42
Department of Finance Canada,Communications Services,operating,Transportation and communications,voted,115812.4
Correctional Service Canada,Financial Management Services,operating,Professional and special services,statutory,115624.5
Library of Parliament,Internal Services,operating,Transportation and communications,voted,115562.63
Pacific Economic Development Agency of Canada,Business Growth,capital,Acquisition of machinery and equipment,voted,115550.04
Canadian Food Inspection Agency,Animal Health Compliance Promotion,operating,"Utilities, materials and supplies",voted,115506.94
Global Affairs Canada,Law Review,operating,Transportation and communications,voted,115485.9
Canada Border Services Agency,Hearings,operating,Rentals,voted,115411.86
Global Affairs Canada,Foreign Service Directives,other,Other subsidies and payments,voted,115260.93
"Innovation, Science and Economic Development Canada",Information Technology Services,operating,Repair and maintenance,voted,115186.97
Public Services and Procurement Canada,Management and Oversight Services,operating,Rentals,voted,115134.61
Correctional Service Canada,Social Programs,operating,Transportation and communications,voted,114873.68
Office of the Parliamentary Budget Officer,Economic and fiscal analysis,operating,Information,voted,114853.39
Immigration and Refugee Board of Canada,Refugee Protection Decisions,operating,Information,voted,114793.36
Impact Assessment Agency of Canada,"Assessment Administration, Conduct, and Monitoring",capital,Acquisition of machinery and equipment,voted,114780.56
Canadian Heritage,Safety and Environment Oversight,operating,Rentals,voted,114614.11
Natural Resources Canada,Forest Sector Competitiveness,operating,Repair and maintenance,voted,114598.86
Health Canada,Tobacco Control,operating,"Utilities, materials and supplies",voted,114563.49
"Innovation, Science and Economic Development Canada",Materiel Management Services,personnel,Personnel,statutory,114528.6
Correctional Service Canada,Accommodation Services,transfers,Transfer payments,voted,114500.0
Office of the Secretary to the Governor General,Internal Services,operating,Information,voted,114498.66
Health Canada,"Quality Health Science, Data and Evidence",personnel,Personnel,statutory,114268.24
Royal Canadian Mounted Police,Real Property Management Services,capital,Acquisition of machinery and equipment,statutory,114227.88
National Research Council Canada,Herzberg Astronomy & Astrophysics,operating,Professional and special services,voted,114091.9
Royal Canadian Mounted Police,Management and Oversight Services,operating,Information,voted,113971.39
Global Affairs Canada,Management and Oversight Services,other,Other subsidies and payments,voted,113873.7
Fisheries and Oceans Canada,Fleet Procurement,operating,Rentals,voted,113811.4
Social Sciences and Humanities Research Council of Canada,Management and Oversight Services,operating,Information,voted,113809.42
National Defence,Recruitment,other,Other subsidies and payments,voted,113439.78
National Research Council Canada,Metrology,operating,Repair and maintenance,statutory,113318.68
Department of Justice Canada,Advisory Services,operating,Repair and maintenance,voted,113317.0
National Research Council Canada,Digital Technologies,operating,Professional and special services,voted,113305.85
Natural Resources Canada,Canada Lands Survey System,operating,Information,voted,113196.09
Parks Canada,Communications Services,operating,Transportation and communications,voted,113152.95
Offices of the Information and Privacy Commissioners of Canada,Internal Services - Office of the Information Commissioner,capital,Acquisition of machinery and equipment,voted,113148.41
"Immigration, Refugees and Citizenship Canada",Settlement,capital,Acquisition of machinery and equipment,voted,113112.61
Office of the Commissioner for Federal Judicial Affairs Canada,Office of the Commissioner for Federal Judicial Affairs,operating,Repair and maintenance,voted,113100.07
Transport Canada,Transportation of Dangerous Goods Oversight,operating,Repair and maintenance,voted,113071.46
Canada Energy Regulator,Pipeline Information,personnel,Personnel,statutory,113065.53
Transport Canada,Management and Oversight Services,operating,"Utilities, materials and supplies",voted,113062.25
Canada Energy Regulator,Internal Services,capital,"Acquisition of land, buildings and works",voted,112973.24
"Immigration, Refugees and Citizenship Canada",Temporary Workers,capital,Acquisition of machinery and equipment,voted,112548.55
Employment and Social Development Canada,Management and Oversight Services,operating,Professional and special services,statutory,112534.0
Canadian Food Inspection Agency,Legal Services,personnel,Personnel,statutory,112529.37
National Research Council Canada,Financial Management Services,operating,Professional and special services,statutory,112458.73
Global Affairs Canada,Polar Science and Knowledge,other,Other subsidies and payments,voted,112387.69
Canada Revenue Agency,Materiel Management Services,operating,"Utilities, materials and supplies",voted,112312.45
Global Affairs Canada,Mission Readiness and Security,personnel,Personnel,statutory,111775.66
The National Battlefields Commission,Internal Services,operating,"Utilities, materials and supplies",voted,111725.14
Canadian Food Inspection Agency,Materiel Management Services,personnel,Personnel,statutory,111423.28
Canada Border Services Agency,Force Generation,operating,Repair and maintenance,voted,111402.6
Senate Ethics Officer,Administration and Interpretation of the Ethics and Conflict of Interest Code for Senators,personnel,Personnel,statutory,111386.13
National Research Council Canada,Aerospace,operating,Transportation and communications,voted,111327.37
Shared Services Canada,Workplace Technologies,operating,"Utilities, materials and supplies",voted,111282.5
Canadian Space Agency,Information Management Services,operating,Rentals,voted,111212.35
Global Affairs Canada,Mission Readiness and Security,operating,Repair and maintenance,voted,111172.95
Canadian Grain Commission,Safeguards for Grain Farmers,capital,Acquisition of machinery and equipment,statutory,111103.93
Social Sciences and Humanities Research Council of Canada,Legal Services,operating,Professional and special services,voted,111087.46
Social Sciences and Humanities Research Council of Canada,Insight Research,operating,Rentals,voted,111015.38
