notice_number,buyer_name,supplier_name,title,awarded_cad,overrun_cad,expense_count,reason,overrun_pct,seao_url
1069228,SQI-Direction Gestion de projets Ouest SSS,Magil Construction Corporation,"Gérance et réalisation de travaux de construction - Centre de formation, regroupement des soins ambulatoires et agrandissement de l’urgence au 5000, rue Bélanger à Montréal (Québec).",102940000.0,4252653.0,1,Condition imprévisible de chantier,4.1,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=6defe3c6-c0ba-4d53-91cf-fde8a19013ce
701978,SQI-Direction Gestion de projets Est 1 (SQI-Gestion de projets Québec CMO),Pomerleau Inc.,Gérance de construction (Contrat mixte serv. prof et construction) Nouvel établissement de détention du Saguenay-Lac-St-Jean à Roberval,6291303.0,4099359.41,2,Réclamation,65.2,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=268a0eaa-dd6b-495d-9ce6-b21fe85ea585
1147514,Université Concordia,Gestion Deloitte s.e.c.,"SERVICES PROFESSIONNELS DE MISE EN ŒUVRE D’UNE SOLUTION INTÉGRÉE FINANCE, RESSOURCES HUMAINES ET APPROVISIONNEMENT",24402667.0,4091000.0,1,Delais generes par la pandemie et ajout de ressources supplementaires afin de finaliser le 31 aout 2021,16.8,
374038,"Ministère des Transports, de la Mobilité durable et de l'Électrification des transports (Direction des contrats de construction et de services)",Construction Génix Inc.,"Réfection du pont Duplessis Est ainsi que l'aménagement cyclable sur la route 138, au-dessus de la rivière Saint-Maurice (Trois-Rivières)",18792747.0,4089273.67,1,Dommages ou contraintes imprévisibles ne pouvant être connus avant les travaux,21.8,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=29f49d0e-a28f-4361-afe5-66497b08f5a2
715515,SQI-Direction Gestion de projets Est 1 (SQI-Gestion de projets Québec CMO),Verreault Inc.,"Services professionnels de gérance de projet et de construction ISO 9001:2000 - Trav. d'amélioration et de maintien d'actifs - L'Atrium - 5700, 4eO",1489220.0,4038970.0,4,Règlement final,271.2,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=40c9f4f1-30a8-4734-a858-359914ae13e7
679676,"Ministère des Transports, de la Mobilité durable et de l'Électrification des transports (Direction des contrats de construction et de services)",Consortium GENIVAR / EXP,Surveillance des travaux des lots préparatoires pour le projet Turcot. (Montréal),5200000.0,4016333.77,2,Surveillance additionnelle liée à des imprévus ou à une prolongation de l'échéancier ou à une situation particulière,77.2,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=abe5dc7d-77b8-4bff-9b71-04c7ec50d0e2
1047804,Centre de services partagés du Québec- Direction générale des acquisitions (DGACQ),ORACLE CANADA ULC,Produits technologiques Oracle pour les clients de l'achat regroupé,24000000.0,4000000.0,1,Un montant additionnel a été alloué afin de mener à terme le contrat.,16.7,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=afb6caf9-7f78-4ef9-91d7-b1f6af307de2
899322,"Ministère des Transports, de la Mobilité durable et de l'Électrification des transports (Direction des contrats de construction et de services)",L.A. Hebert ltée,SIC1301-15-0203 travaux de dérivation du collecteur st-pierre (secteur est).,16065589.97,3877566.24,6,Erreur de transcription,24.1,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=add91063-3bfc-422f-bba3-e40c33fb03d0
1012885,Université Laval,EBC Inc..,Université Laval / Pavillon Alexandre-Vachon / Mise aux normes et rénovation de l'aile 600,21070330.0,3826323.01,5,ODC01 à ODC49,18.2,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=3c64ef27-faac-4918-b727-d9b4111de8df
764968,SQI-Direction Gestion de projets Est 1 (SQI-Gestion de projets Québec CMO),Beauvais et Verret Inc,"Réfection de l'enveloppe (phase 6) au 16, rue de la Barricade à Québec.",7973000.0,3777987.0,8,Sinistre : travaux de démolition et de reconstruction,47.4,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=956ed95c-aac8-453f-bd51-4cea4fa03527
1099550,Commission scolaire de Laval.,Consortium M.R. Canada ltée,École Vimont-Auteuil - Construction d'une école 3/18,10839700.0,3762694.1,23,Diverses dépenses en lien avec la construction de la nouvelle école ( 3.89% de dépenses enregistrées),34.7,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=660d71d4-e641-488f-a473-5b100040e77d
1242321,Société québécoise des infrastructures,Pomerleau Inc.,Gérance et réalisation de travaux de construction (2e étape),8036800.0,3729184.11,1,Modification significative du client,46.4,
622714,"Ministère des Transports, de la Mobilité durable et de l'Électrification des transports (Direction des contrats de construction et de services)",Construction Demathieu & Bard (CDB) Inc.,"Réfection des structures de l'échangeur Saint-Pierre (intersection de l'A-20 et la route 138), Lot 3 dans la Ville de Montréal",18252554.15,3700000.0,1,Modifications au concept initial,20.3,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=c9d34cc3-17dd-4f06-ab78-380055a105be
659560,"Ministère des Transports, de la Mobilité durable et de l'Électrification des transports (Direction des contrats de construction et de services)",EBC Inc.,"PROJET TURCOT: Construction d'un mur de soutènement longeant la future bretelle R le long de l'A-720, ainsi que divers travaux connexes (Westmount)",8483000.0,3676085.88,2,Travaux de construction réalisés en période hivernale,43.3,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=df7acf6b-ab3e-4774-9ca1-4ef13a191ca5
548565,"Ministère des Transports, de la Mobilité durable et de l'Électrification des transports (Direction des contrats de construction et de services)",Inter-Cité Construction Ltée,"STRUCTURE COMPLEXE-Remplacement d’un pont acier-bois par batterie de ponceaux en béton armé enjambant Petite rivière Natashquan, rte 138 (Natashquan)",9198546.12,3488460.41,3,Poursuites judiciaires ou réclamations,37.9,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=e2634df2-c1b5-4168-9e24-8091d4827d80
548615,Université Concordia,Gestion Deloitte S.E.C..,"Analyse des besoins (arrimage des requis et déficiences, le logiciel et la mise en œuvre d’un système d’information des étudiants",12844119.01,3441922.08,3,heures supplementaires pour le consultant: 142 694$/30.03.15 et 76 077$/04.05.15,26.8,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=c7dde71d-461e-4e69-b912-e1cc9a9e07a0
537631,Corporation d'Approvisionnement Laurentides-Lanaudière,Medline Canada,Gants,7466583.09,3401955.0,3,Il y a eu plusieurs gré-à-gré pour prolonger le contrat afin d'arrimer les dossiers de gants pour tout le groupe.,45.6,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=55971b44-30a1-44da-abac-17dfca954883
472246,Société d'Habitation du Québec,CGI Inc.,Impartition des services informatiques de la Société d'habitation du Québec,5700000.12,3378198.39,5,Renouvellement pour 2015-2016,59.3,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=5c7d8f96-a2ae-4790-85d3-fdd8091c114c
545773,Commission scolaire de Montréal / BDA,Provencher Roy + Associés architectes,Équipe d'architectes et d'ingénieurs - Agrandissement de Félix-Leclerc et Simonne-Monet,1323500.0,3357167.73,8,SRM17532a (rapport A-33-945 - 20 avril 2016),253.7,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=e7833909-5712-4972-9b97-dc56a4ea0544
573797,Groupe d'approvisionnement en commun de l'Est du Québec - Section Québec / Chaudière-Appalaches,Stryker Canada LP,Lits spécialisés / GACEQ 03-12,136070.0,3354197.05,3,Dépenses supplémentaires : Différence entre montant contrat conclu et montant annoncé pour la Fin de contrat. L'explication de cette dépense se retrouve dans la note de la Fin de contrat.,2465.1,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=a2ec0836-c502-4b66-8882-bcf0b7d99d54
555436,Centre universitaire de santé McGill.,Logibec Groupe Informatique Ltée,Remplacement des systèmes administratifs et clinic-administratifs du CUSM,15755398.9,3327158.0,2,Modification du contrat original pour rajouter les dépenses de la phase 2 du projet d'entepôt de données.,21.1,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=34bb8cc4-5820-4e31-8cb7-c08707c61c18
731236,"Ministère des Transports, de la Mobilité durable et de l'Électrification des transports (Direction des contrats de construction et de services)",Stellaire Construction inc.,Réfection de structures sur l'autoroute Dufferin-Montmorency et réparation de ponts sur l'autoroute Laurentienne (Québec),20538312.0,3288619.61,1,Travaux additionnels urgents aux structures,16.0,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=56318090-86f2-4120-8928-41d48d92015b
1370139,CIUSSS du Nord-de-l'Île-de-Montréal,LAB 1 (9210-0338 QUEBEC INC),Service de main d'oeuvre indépendante hygiène et salubrité,494173.75,3280000.0,1,MOI hygiène salubrité - prolongation du contrat - Art. 118 Urgence sanitaire,663.7,
