jurisdiction,fiscal_year,organization,programme,kind,amount
ca-federal,2011-12,Department of Employment and Social Development,Old Age Security payments (Old Age Security Act),appropriation,28868796840.0
ca-federal,2011-12,Department of Finance,Interest on Unmatured Debt,appropriation,27881332474.0
ca-federal,2011-12,Department of Finance,Canada Health Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act),appropriation,26941815102.0
ca-federal,2011-12,Department of National Defence,Operating/Program,appropriation,15039558546.0
ca-federal,2011-12,Department of Finance,Fiscal Equalization (Part I - Federal-Provincial Fiscal Arrangements Act),appropriation,14658570000.0
ca-federal,2011-12,Department of Finance,Canada Social Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act),appropriation,11514064000.0
ca-federal,2011-12,Department of Employment and Social Development,Guaranteed Income Supplement Payments (Old Age Security Act),appropriation,8638062109.0
ca-federal,2011-12,Department of Crown-Indigenous Relations and Northern Affairs,Grants & Contributions,appropriation,6338019045.0
ca-federal,2011-12,"Department of Housing, Infrastructure and Communities",Grants & Contributions,appropriation,4197098781.0
ca-federal,2011-12,Canadian International Development Agency,Grants & Contributions,appropriation,3278588220.0
ca-federal,2011-12,Department of National Defence,Capital,appropriation,3255231544.0
ca-federal,2011-12,Canada Revenue Agency,Operating/Program,appropriation,3158001277.0
ca-federal,2011-12,Department of Finance,Territorial Financing (Part I.1 - Federal-Provincial Fiscal Arrangements Act),appropriation,2876083006.0
ca-federal,2011-12,Department of Employment and Social Development,Universal Child Care Benefit (Universal Child Care Benefit Act),appropriation,2691016827.0
ca-federal,2011-12,Department of Veterans Affairs,Grants & Contributions,appropriation,2511656858.0
ca-federal,2011-12,Treasury Board Secretariat,Treasury Board Central,appropriation,2186595248.0
ca-federal,2011-12,Department of Public Works and Government Services,Operating/Program,appropriation,2175092763.0
ca-federal,2011-12,Royal Canadian Mounted Police,Operating/Program,appropriation,2119252589.0
ca-federal,2011-12,Correctional Service of Canada,Operating/Program,appropriation,2075159200.0
ca-federal,2011-12,Canada Mortgage and Housing Corporation,Payments to Crown Corps,appropriation,2048052949.0
ca-federal,2011-12,Department of Health,Operating/Program,appropriation,2016186192.0
ca-federal,2011-12,Department of Employment and Social Development,Grants & Contributions,appropriation,1647406307.0
ca-federal,2011-12,Department of Finance,"Payments to provinces regarding sales tax harmonization (Part III,I -Federal-Provincial Fiscal Arrangements Act)",appropriation,1560200000.0
ca-federal,2011-12,Canada Border Services Agency,Operating/Program,appropriation,1521118147.0
ca-federal,2011-12,Department of Health,Grants & Contributions,appropriation,1511881318.0
ca-federal,2011-12,Department of Employment and Social Development,"(S) Old Age Security Payments (R.S.C., 1985, c. O-9)",transfer,28868796840.0
ca-federal,2011-12,Department of Finance,(S) Canada Health Transfer (Part V.1—Federal-Provincial Fiscal Arrangements Act),transfer,26941815102.0
ca-federal,2011-12,Department of Finance,(S) Fiscal Equalization (Part I—Federal-Provincial Fiscal Arrangements Act),transfer,14658570000.0
ca-federal,2011-12,Department of Finance,(S) Canada Social Transfer (Part V.1—Federal-Provincial Fiscal Arrangements Act),transfer,11514064000.0
ca-federal,2011-12,Department of Employment and Social Development,"(S) Guaranteed Income Supplement Payments (R.S.C., 1985, c. O-9)",transfer,8638062109.0
ca-federal,2011-12,Department of Finance,(S) Territorial Financing (Part I.1—Federal-Provincial Fiscal Arrangements Act),transfer,2876083006.0
ca-federal,2011-12,Department of Employment and Social Development,(S) Universal Child Care Benefit,transfer,2691016827.0
ca-federal,2011-12,"Department of Housing, Infrastructure and Communities",Gas Tax Fund (Keeping Canada's Economy and Jobs Growing Act),transfer,2205848069.0
ca-federal,2011-12,Canadian International Development Agency,"Grants for Multilateral Programming: Grants in support of development assistance, humanitarian assistance or disaster preparedness, for global operations, programs, projects, activities and appeals for the benefit of developing countries or territories or countries in transition",transfer,1962509222.0
ca-federal,2011-12,Department of Veterans Affairs,"Pensions for disability and death, including pensions granted under the authority of the Civilian Government Employees (War) Compensation Order, P.C. 45/8848 of November 22, 1944, which shall be subject to the Pension Act; for former prisoners of war under the Pension Act, and Newfoundland special awards",transfer,1695057510.0
ca-federal,2011-12,Department of Crown-Indigenous Relations and Northern Affairs,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in social development",transfer,1652205120.0
ca-federal,2011-12,Department of Crown-Indigenous Relations and Northern Affairs,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in education",transfer,1631608789.0
ca-federal,2011-12,Department of Finance,(S) Payments to Provinces for assistance with Sales Tax Harmonization,transfer,1560200000.0
ca-federal,2011-12,Department of Crown-Indigenous Relations and Northern Affairs,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",transfer,1061291273.0
ca-federal,2011-12,Department of Natural Resources,(S) Payments to the Newfoundland Offshore Petroleum Resource Revenue Fund (Canada-Newfoundland Atlantic Accord Implementation Act),transfer,1059753176.0
ca-federal,2011-12,Department of Finance,(S) Additional fiscal equalization payment-Total transfer protection,transfer,952107000.0
ca-federal,2011-12,Natural Sciences and Engineering Research Council,Grants and Scholarships,transfer,857505969.0
ca-federal,2011-12,Canadian Institutes of Health Research,Grants for research projects and personnel support,transfer,855711960.0
ca-federal,2011-12,"Department of Housing, Infrastructure and Communities",Contributions under the Building Canada Fund Major Infrastructure Component,transfer,758518037.0
ca-federal,2011-12,Canadian International Development Agency,"Contributions for Bilateral Programming: Contributions in support of development assistance, contributions for cooperation with countries in transition and contributions in support of regional or country specific development assistance programs, projects and activities for the benefit of developing countries or territories or countries in transition",transfer,739926150.0
ca-federal,2011-12,Department of Health,Contributions for First Nations and Inuit Primary Health Care,transfer,698521456.0
ca-federal,2011-12,Department of Employment and Social Development,(S) Canada Education Savings grant payments to Registered Educations Savings Plan trustees on behalf of Registered Educations Savings Plan beneficiaries to encourage Canadians to save for post-secondary education for their children (Canada Education Savings Act),transfer,691542116.0
ca-federal,2011-12,Department of Employment and Social Development,(S) Canada Student Grants to qualifying full and part-time students pursuant to the Canada Student Financial Assistance Act,transfer,648936690.0
ca-federal,2011-12,Department of Citizenship and Immigration,Settlement Program,transfer,593693433.0
ca-federal,2011-12,Department of Employment and Social Development,"Payments to provinces, territories, municipalities, other public bodies, organizations, groups, communities, employers and individuals for the provision of training and/or work experience, the mobilization of community resources, and human resource planning and adjustment measures necessary for the efficient functioning of the Canadian labour market",transfer,587518725.0
ca-federal,2012-13,Department of Employment and Social Development,Old Age Security payments (Old Age Security Act),appropriation,30589905671.0
ca-federal,2012-13,Department of Finance,Canada Health Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act),appropriation,28568644223.0
ca-federal,2012-13,Department of Finance,Interest on Unmatured Debt,appropriation,16932094462.0
ca-federal,2012-13,Department of Finance,Fiscal Equalization (Part I - Federal-Provincial Fiscal Arrangements Act),appropriation,15422503000.0
ca-federal,2012-13,Department of National Defence,Operating/Program,appropriation,15001660268.0
ca-federal,2012-13,Department of Finance,Canada Social Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act),appropriation,11859486000.0
ca-federal,2012-13,Department of Employment and Social Development,Guaranteed Income Supplement Payments (Old Age Security Act),appropriation,9147435393.0
ca-federal,2012-13,Department of Finance,Other Interest Costs,appropriation,9050112469.0
ca-federal,2012-13,Department of Crown-Indigenous Relations and Northern Affairs,Grants & Contributions,appropriation,6630942897.0
ca-federal,2012-13,"Department of Housing, Infrastructure and Communities",Grants & Contributions,appropriation,3602817891.0
ca-federal,2012-13,Canada Revenue Agency,Operating/Program,appropriation,3265374223.0
ca-federal,2012-13,Department of Finance,Territorial Financing (Part I.1 - Federal-Provincial Fiscal Arrangements Act),appropriation,3110679940.0
ca-federal,2012-13,Department of National Defence,Capital,appropriation,3059268913.0
ca-federal,2012-13,Canadian International Development Agency,Grants & Contributions,appropriation,2860377838.0
ca-federal,2012-13,Department of Employment and Social Development,Universal Child Care Benefit (Universal Child Care Benefit Act),appropriation,2724715150.0
ca-federal,2012-13,Department of Veterans Affairs,Grants & Contributions,appropriation,2578927410.0
ca-federal,2012-13,Royal Canadian Mounted Police,Operating/Program,appropriation,2243129029.0
ca-federal,2012-13,Canada Mortgage and Housing Corporation,Payments to Crown Corps,appropriation,2086397954.0
ca-federal,2012-13,Department of Public Works and Government Services,Operating/Program,appropriation,2080057661.0
ca-federal,2012-13,Treasury Board Secretariat,Treasury Board Central,appropriation,2057349583.0
ca-federal,2012-13,Correctional Service of Canada,Operating/Program,appropriation,1968711838.0
ca-federal,2012-13,Department of Health,Operating/Program,appropriation,1968662888.0
ca-federal,2012-13,Department of Employment and Social Development,Grants & Contributions,appropriation,1704013699.0
ca-federal,2012-13,Department of Health,Grants & Contributions,appropriation,1510410669.0
ca-federal,2012-13,Canada Border Services Agency,Operating/Program,appropriation,1440742689.0
ca-federal,2012-13,Department of Employment and Social Development,"(S) Old Age Security Payments (R.S.C., 1985, c. O-9)",transfer,30589905671.0
ca-federal,2012-13,Department of Finance,(S) Canada Health Transfer (Part V.1—Federal-Provincial Fiscal Arrangements Act),transfer,28568644223.0
ca-federal,2012-13,Department of Finance,(S) Fiscal Equalization (Part I—Federal-Provincial Fiscal Arrangements Act),transfer,15422503000.0
ca-federal,2012-13,Department of Finance,(S) Canada Social Transfer (Part V.1—Federal-Provincial Fiscal Arrangements Act),transfer,11859486000.0
ca-federal,2012-13,Department of Employment and Social Development,"(S) Guaranteed Income Supplement Payments (R.S.C., 1985, c. O-9)",transfer,9147435393.0
ca-federal,2012-13,Department of Finance,(S) Territorial Financing (Part I.1—Federal-Provincial Fiscal Arrangements Act),transfer,3110679940.0
ca-federal,2012-13,Department of Employment and Social Development,(S) Universal Child Care Benefit,transfer,2724715150.0
ca-federal,2012-13,"Department of Housing, Infrastructure and Communities",Gas Tax Fund (Keeping Canada's Economy and Jobs Growing Act),transfer,1964039431.0
ca-federal,2012-13,Canadian International Development Agency,"Grants for Multilateral Programming: Grants in support of development assistance, humanitarian assistance or disaster preparedness, for global operations, programs, projects, activities and appeals for the benefit of developing countries or territories or countries in transition",transfer,1725090980.0
ca-federal,2012-13,Department of Crown-Indigenous Relations and Northern Affairs,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in education",transfer,1696709703.0
ca-federal,2012-13,Department of Crown-Indigenous Relations and Northern Affairs,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in social development",transfer,1684260414.0
ca-federal,2012-13,Department of Veterans Affairs,"Pensions for disability and death, including pensions granted under the authority of the Civilian Government Employees (War) Compensation Order, P.C. 45/8848 of November 22, 1944, which shall be subject to the Pension Act; for former prisoners of war under the Pension Act, and Newfoundland special awards",transfer,1633836047.0
ca-federal,2012-13,Department of Crown-Indigenous Relations and Northern Affairs,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",transfer,1040273035.0
ca-federal,2012-13,"Department of Housing, Infrastructure and Communities",Contributions under the Building Canada Fund Major Infrastructure Component,transfer,919764212.0
ca-federal,2012-13,Natural Sciences and Engineering Research Council,Grants and Scholarships,transfer,866551686.0
ca-federal,2012-13,Canadian Institutes of Health Research,Grants for research projects and personnel support,transfer,852842284.0
ca-federal,2012-13,Department of Employment and Social Development,(S) Canada Education Savings grant payments to Registered Educations Savings Plan trustees on behalf of Registered Educations Savings Plan beneficiaries to encourage Canadians to save for post-secondary education for their children (Canada Education Savings Act),transfer,718888870.0
ca-federal,2012-13,Department of Health,Contributions for First Nations and Inuit Primary Health Care,transfer,700514841.0
ca-federal,2012-13,Department of Employment and Social Development,(S) Canada Student Grants to qualifying full and part-time students pursuant to the Canada Student Financial Assistance Act,transfer,680159050.0
ca-federal,2012-13,Department of Finance,(S) Additional fiscal equalization payment-Total transfer protection,transfer,679660000.0
ca-federal,2012-13,Department of Agriculture and Agri-Food,(S) Contribution payments for the AgriInsurance program (Farm Income Protection Act),transfer,677986995.0
ca-federal,2012-13,Canadian International Development Agency,"Contributions for Bilateral Programming: Contributions in support of development assistance, contributions for cooperation with countries in transition and contributions in support of regional or country specific development assistance programs, projects and activities for the benefit of developing countries or territories or countries in transition",transfer,623710091.0
ca-federal,2012-13,Department of Citizenship and Immigration,Settlement Program,transfer,585511769.0
ca-federal,2012-13,Department of Natural Resources,(S) Payments to the Newfoundland Offshore Petroleum Resource Revenue Fund (Canada-Newfoundland Atlantic Accord Implementation Act),transfer,566121270.0
ca-federal,2012-13,Department of Crown-Indigenous Relations and Northern Affairs,"Grants to First Nations to settle specific claims negotiated by Canada and/or awarded by the Specific Claims Tribunal, and to Indigenous groups to settle special claims",transfer,556500759.0
ca-federal,2013-14,Department of Employment and Social Development,Old Age Security payments (Old Age Security Act),appropriation,31911357696.0
ca-federal,2013-14,Department of Finance,Canada Health Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act),appropriation,30282900196.0
ca-federal,2013-14,Department of Finance,Interest on Unmatured Debt,appropriation,16427887249.0
ca-federal,2013-14,Department of Finance,Fiscal Equalization (Part I - Federal-Provincial Fiscal Arrangements Act),appropriation,16105194000.0
ca-federal,2013-14,Department of National Defence,Operating/Program,appropriation,13992664687.0
ca-federal,2013-14,Department of Finance,Canada Social Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act),appropriation,12215271000.0
ca-federal,2013-14,Department of Employment and Social Development,Guaranteed Income Supplement Payments (Old Age Security Act),appropriation,9372773071.0
ca-federal,2013-14,Department of Finance,Other Interest Costs,appropriation,8583878921.0
ca-federal,2013-14,Department of Crown-Indigenous Relations and Northern Affairs,Grants & Contributions,appropriation,6509861747.0
ca-federal,2013-14,"Department of Housing, Infrastructure and Communities",Grants & Contributions,appropriation,3463223390.0
ca-federal,2013-14,Department of Finance,Territorial Financing (Part I.1 - Federal-Provincial Fiscal Arrangements Act),appropriation,3288281700.0
ca-federal,2013-14,"Department of Foreign Affairs, Trade and Development",Grants & Contributions,appropriation,3105855340.0
ca-federal,2013-14,Canada Revenue Agency,Operating/Program,appropriation,3097500944.0
ca-federal,2013-14,Department of National Defence,Capital,appropriation,2855755116.0
ca-federal,2013-14,Department of Employment and Social Development,Universal Child Care Benefit (Universal Child Care Benefit Act),appropriation,2740095187.0
ca-federal,2013-14,Department of Veterans Affairs,Grants & Contributions,appropriation,2635519439.0
ca-federal,2013-14,Treasury Board Secretariat,Treasury Board Central,appropriation,2186132708.0
ca-federal,2013-14,Correctional Service of Canada,Operating/Program,appropriation,2116015356.0
ca-federal,2013-14,Department of Public Works and Government Services,Operating/Program,appropriation,2085289360.0
ca-federal,2013-14,Canada Mortgage and Housing Corporation,Payments to Crown Corps,appropriation,2054849627.0
ca-federal,2013-14,Royal Canadian Mounted Police,Operating/Program,appropriation,1981451541.0
ca-federal,2013-14,Department of Health,Operating/Program,appropriation,1863065740.0
ca-federal,2013-14,Department of Employment and Social Development,Grants & Contributions,appropriation,1697786241.0
ca-federal,2013-14,Department of Health,Grants & Contributions,appropriation,1640642661.0
ca-federal,2013-14,Canada Border Services Agency,Operating/Program,appropriation,1540450182.0
ca-federal,2013-14,Department of Employment and Social Development,"(S) Old Age Security Payments (R.S.C., 1985, c. O-9)",transfer,31911357696.0
ca-federal,2013-14,Department of Finance,(S) Canada Health Transfer (Part V.1—Federal-Provincial Fiscal Arrangements Act),transfer,30282900196.0
ca-federal,2013-14,Department of Finance,(S) Fiscal Equalization (Part I—Federal-Provincial Fiscal Arrangements Act),transfer,16105194000.0
ca-federal,2013-14,Department of Finance,(S) Canada Social Transfer (Part V.1—Federal-Provincial Fiscal Arrangements Act),transfer,12215271000.0
ca-federal,2013-14,Department of Employment and Social Development,"(S) Guaranteed Income Supplement Payments (R.S.C., 1985, c. O-9)",transfer,9372773071.0
ca-federal,2013-14,Department of Finance,(S) Territorial Financing (Part I.1—Federal-Provincial Fiscal Arrangements Act),transfer,3288281700.0
ca-federal,2013-14,Department of Employment and Social Development,(S) Universal Child Care Benefit,transfer,2740095187.0
ca-federal,2013-14,"Department of Housing, Infrastructure and Communities",Gas Tax Fund (Keeping Canada's Economy and Jobs Growing Act),transfer,2106864500.0
ca-federal,2013-14,Department of Crown-Indigenous Relations and Northern Affairs,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in education",transfer,1733575046.0
ca-federal,2013-14,Department of Crown-Indigenous Relations and Northern Affairs,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in social development",transfer,1695813973.0
ca-federal,2013-14,"Department of Foreign Affairs, Trade and Development",Grants from the International Development Assistance for Multilateral Programming,transfer,1641374818.0
ca-federal,2013-14,Department of Veterans Affairs,"Pensions for disability and death, including pensions granted under the authority of the Civilian Government Employees (War) Compensation Order, P.C. 45/8848 of November 22, 1944, which shall be subject to the Pension Act; for former prisoners of war under the Pension Act, and Newfoundland special awards",transfer,1562918105.0
ca-federal,2013-14,Department of Finance,(S) Payments to Provinces for assistance with Sales Tax Harmonization,transfer,1161200000.0
ca-federal,2013-14,Department of Public Safety and Emergency Preparedness,Contributions to the provinces for assistance related to natural disasters,transfer,1018988056.0
ca-federal,2013-14,Department of Crown-Indigenous Relations and Northern Affairs,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",transfer,1006657819.0
ca-federal,2013-14,Canadian Institutes of Health Research,Grants for research projects and personnel support,transfer,854080958.0
ca-federal,2013-14,Natural Sciences and Engineering Research Council,Grants and Scholarships,transfer,846733578.0
ca-federal,2013-14,Department of Employment and Social Development,(S) Canada Education Savings grant payments to Registered Educations Savings Plan trustees on behalf of Registered Educations Savings Plan beneficiaries to encourage Canadians to save for post-secondary education for their children (Canada Education Savings Act),transfer,760199839.0
ca-federal,2013-14,Department of Agriculture and Agri-Food,(S) Contribution payments for the AgriInsurance program (Farm Income Protection Act),transfer,750830429.0
ca-federal,2013-14,Department of Natural Resources,(S) Payments to the Newfoundland Offshore Petroleum Resource Revenue Fund (Canada-Newfoundland Atlantic Accord Implementation Act),transfer,731533986.0
ca-federal,2013-14,Department of Employment and Social Development,(S) Canada Student Grants to qualifying full and part-time students pursuant to the Canada Student Financial Assistance Act,transfer,725360274.0
ca-federal,2013-14,"Department of Housing, Infrastructure and Communities",Contributions under the Building Canada Fund Major Infrastructure Component,transfer,692803945.0
ca-federal,2013-14,Department of Health,Contributions for First Nations and Inuit Primary Health Care,transfer,675173550.0
ca-federal,2013-14,"Department of Foreign Affairs, Trade and Development",Contributions from the International Development Assistance for Bilateral Programming to support regional or country specific,transfer,578106558.0
ca-federal,2013-14,Department of Citizenship and Immigration,Settlement Program,transfer,572212198.0
ca-federal,2014-15,Department of Employment and Social Development,Old Age Security payments (Old Age Security Act),appropriation,33535507278.0
ca-federal,2014-15,Department of Finance,Canada Health Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act),appropriation,32114006363.0
ca-federal,2014-15,Department of Finance,Fiscal Equalization (Part I - Federal-Provincial Fiscal Arrangements Act),appropriation,16669278000.0
ca-federal,2014-15,Department of Finance,Interest on Unmatured Debt,appropriation,15351976738.0
ca-federal,2014-15,Department of National Defence,Operating/Program,appropriation,13396436118.0
ca-federal,2014-15,Department of Finance,Canada Social Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act),appropriation,12581729000.0
ca-federal,2014-15,Department of Employment and Social Development,Guaranteed Income Supplement Payments (Old Age Security Act),appropriation,10066152466.0
ca-federal,2014-15,Department of Finance,Other Interest Costs,appropriation,8136044563.0
ca-federal,2014-15,Department of Crown-Indigenous Relations and Northern Affairs,Grants & Contributions,appropriation,6319998924.0
ca-federal,2014-15,"Department of Foreign Affairs, Trade and Development",Grants & Contributions,appropriation,3607883948.0
ca-federal,2014-15,Department of Finance,Territorial Financing (Part I.1 - Federal-Provincial Fiscal Arrangements Act),appropriation,3469215474.0
ca-federal,2014-15,Department of National Defence,Capital,appropriation,3316468475.0
ca-federal,2014-15,Canada Revenue Agency,Operating/Program,appropriation,3167429873.0
ca-federal,2014-15,Department of Employment and Social Development,Universal Child Care Benefit (Universal Child Care Benefit Act),appropriation,2738493220.0
ca-federal,2014-15,Department of Veterans Affairs,Grants & Contributions,appropriation,2533729901.0
ca-federal,2014-15,Treasury Board Secretariat,Treasury Board Central,appropriation,2454311704.0
ca-federal,2014-15,Correctional Service of Canada,Operating/Program,appropriation,2134769681.0
ca-federal,2014-15,Canada Mortgage and Housing Corporation,Payments to Crown Corps,appropriation,2053213063.0
ca-federal,2014-15,"Department of Housing, Infrastructure and Communities",Contributions related to the Canada Community-Building Fund (Keeping Canada's Economy and Jobs Growing Act),appropriation,1973269432.0
ca-federal,2014-15,Royal Canadian Mounted Police,Operating/Program,appropriation,1908906265.0
ca-federal,2014-15,Department of Health,Operating/Program,appropriation,1788480069.0
ca-federal,2014-15,Department of Health,Grants & Contributions,appropriation,1726041096.0
ca-federal,2014-15,Department of Public Works and Government Services,Operating/Program,appropriation,1653272183.0
ca-federal,2014-15,Canada Border Services Agency,Operating/Program,appropriation,1628333847.0
ca-federal,2014-15,Department of Employment and Social Development,Grants & Contributions,appropriation,1570718755.0
ca-federal,2014-15,Department of Employment and Social Development,"(S) Old Age Security Payments (R.S.C., 1985, c. O-9)",transfer,33535507278.0
ca-federal,2014-15,Department of Finance,(S) Canada Health Transfer (Part V.1—Federal-Provincial Fiscal Arrangements Act),transfer,32114006363.0
ca-federal,2014-15,Department of Finance,(S) Fiscal Equalization (Part I—Federal-Provincial Fiscal Arrangements Act),transfer,16669278000.0
ca-federal,2014-15,Department of Finance,(S) Canada Social Transfer (Part V.1—Federal-Provincial Fiscal Arrangements Act),transfer,12581729000.0
ca-federal,2014-15,Department of Employment and Social Development,"(S) Guaranteed Income Supplement Payments (R.S.C., 1985, c. O-9)",transfer,10066152466.0
ca-federal,2014-15,Department of Finance,(S) Territorial Financing (Part I.1—Federal-Provincial Fiscal Arrangements Act),transfer,3469215474.0
ca-federal,2014-15,Department of Employment and Social Development,(S) Universal Child Care Benefit,transfer,2738493220.0
ca-federal,2014-15,"Department of Housing, Infrastructure and Communities",(S) Gas Tax Fund (Keeping Canada's Economy and Jobs Growing Act),transfer,1973269432.0
ca-federal,2014-15,"Department of Foreign Affairs, Trade and Development",Grants from the International Development Assistance for Multilateral Programming,transfer,1894318521.0
ca-federal,2014-15,Department of Veterans Affairs,"Pensions for disability and death, including pensions granted under the authority of the Civilian Government Employees (War) Compensation Order, P.C. 45/8848 of November 22, 1944, which shall be subject to the Pension Act; for former prisoners of war under the Pension Act, and Newfoundland special awards",transfer,1473364776.0
ca-federal,2014-15,Department of Crown-Indigenous Relations and Northern Affairs,Contributions to support First Nations Elementary and Secondary Educational Advancement,transfer,1370659613.0
ca-federal,2014-15,Department of Crown-Indigenous Relations and Northern Affairs,Contributions to support the construction and maintenance of community infrastructure,transfer,1103841614.0
ca-federal,2014-15,Department of Crown-Indigenous Relations and Northern Affairs,Contributions to provide income support to on-reserve residents,transfer,991939516.0
ca-federal,2014-15,Department of Finance,(S) Payments to International Development Association (Bretton Woods and Related Agreements Act),transfer,883220000.0
ca-federal,2014-15,Canadian Institutes of Health Research,Grants for research projects and personnel support,transfer,870277008.0
ca-federal,2014-15,Natural Sciences and Engineering Research Council,Grants and Scholarships,transfer,863030198.0
ca-federal,2014-15,Department of Employment and Social Development,(S) Canada Education Savings grant payments to Registered Educations Savings Plan trustees on behalf of Registered Educations Savings Plan beneficiaries to encourage Canadians to save for post-secondary education for their children (Canada Education Savings Act),transfer,781081862.0
ca-federal,2014-15,Department of Natural Resources,(S) Payments to the Newfoundland Offshore Petroleum Resource Revenue Fund (Canada-Newfoundland Atlantic Accord Implementation Act),transfer,751940157.0
ca-federal,2014-15,"Department of Foreign Affairs, Trade and Development",Contributions from the International Development Assistance for Bilateral Programming to support regional or country specific,transfer,717584838.0
ca-federal,2014-15,Department of Employment and Social Development,(S) Canada Student Grants to qualifying full and part-time students pursuant to the Canada Student Financial Assistance Act,transfer,706839634.0
ca-federal,2014-15,Department of Crown-Indigenous Relations and Northern Affairs,"Contributions to provide women, children and families with Protection and Prevention Services",transfer,678553838.0
ca-federal,2014-15,Department of Health,Contributions for First Nations and Inuit Primary Health Care,transfer,641124657.0
ca-federal,2014-15,Department of Health,Contributions for First Nations and Inuit Health Infrastructure Support,transfer,611949625.0
ca-federal,2014-15,Department of Agriculture and Agri-Food,(S) Contribution payments for the AgriInsurance program (Farm Income Protection Act),transfer,610882404.0
ca-federal,2014-15,Department of Citizenship and Immigration,Settlement Program,transfer,575736724.0
ca-federal,2015-16,Department of Employment and Social Development,Old Age Security payments (Old Age Security Act),appropriation,35050472599.0
ca-federal,2015-16,Department of Finance,Canada Health Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act),appropriation,34024617855.0
ca-federal,2015-16,Department of Finance,Fiscal Equalization (Part I - Federal-Provincial Fiscal Arrangements Act),appropriation,17341310000.0
ca-federal,2015-16,Department of Finance,Interest on Unmatured Debt,appropriation,15101078440.0
ca-federal,2015-16,Department of National Defence,Operating/Program,appropriation,13775156234.0
ca-federal,2015-16,Department of Finance,Canada Social Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act),appropriation,12959181000.0
ca-federal,2015-16,Department of Employment and Social Development,Guaranteed Income Supplement Payments (Old Age Security Act),appropriation,9921659952.0
ca-federal,2015-16,Department of Employment and Social Development,Universal Child Care Benefit (Universal Child Care Benefit Act),appropriation,8758825034.0
ca-federal,2015-16,Department of Finance,Other Interest Costs,appropriation,7543413434.0
ca-federal,2015-16,Department of Crown-Indigenous Relations and Northern Affairs,Grants & Contributions,appropriation,6486296604.0
ca-federal,2015-16,"Department of Foreign Affairs, Trade and Development",Grants & Contributions,appropriation,3834875859.0
ca-federal,2015-16,Department of Finance,Territorial Financing (Part I.1 - Federal-Provincial Fiscal Arrangements Act),appropriation,3561034002.0
ca-federal,2015-16,Department of National Defence,Capital,appropriation,3182342740.0
ca-federal,2015-16,Canada Revenue Agency,Operating/Program,appropriation,3034034552.0
ca-federal,2015-16,Department of Veterans Affairs,Grants & Contributions,appropriation,2693998960.0
ca-federal,2015-16,Treasury Board Secretariat,Treasury Board Central,appropriation,2690624377.0
ca-federal,2015-16,Canada Mortgage and Housing Corporation,Payments to Crown Corps,appropriation,2008369383.0
ca-federal,2015-16,"Department of Housing, Infrastructure and Communities",Contributions related to the Canada Community-Building Fund (Keeping Canada's Economy and Jobs Growing Act),appropriation,1973269432.0
ca-federal,2015-16,Correctional Service of Canada,Operating/Program,appropriation,1969350061.0
ca-federal,2015-16,Royal Canadian Mounted Police,Operating/Program,appropriation,1881921442.0
ca-federal,2015-16,Department of Health,Operating/Program,appropriation,1804922604.0
ca-federal,2015-16,Department of Health,Grants & Contributions,appropriation,1791950569.0
ca-federal,2015-16,Department of Public Works and Government Services,Operating/Program,appropriation,1684654681.0
ca-federal,2015-16,"Department of Foreign Affairs, Trade and Development",Operating/Program,appropriation,1594012917.0
ca-federal,2015-16,Department of Employment and Social Development,Grants & Contributions,appropriation,1559677506.0
ca-federal,2015-16,Department of Employment and Social Development,"(S) Old Age Security Payments (R.S.C., 1985, c. O-9)",transfer,35050472599.0
ca-federal,2015-16,Department of Finance,(S) Canada Health Transfer (Part V.1—Federal-Provincial Fiscal Arrangements Act),transfer,34024617855.0
ca-federal,2015-16,Department of Finance,(S) Fiscal Equalization (Part I—Federal-Provincial Fiscal Arrangements Act),transfer,17341310000.0
ca-federal,2015-16,Department of Finance,(S) Canada Social Transfer (Part V.1—Federal-Provincial Fiscal Arrangements Act),transfer,12959181000.0
ca-federal,2015-16,Department of Employment and Social Development,"(S) Guaranteed Income Supplement Payments (R.S.C., 1985, c. O-9)",transfer,9921659952.0
ca-federal,2015-16,Department of Employment and Social Development,(S) Universal Child Care Benefit,transfer,8758825034.0
